Station (alphabetical by borough),2013,2014,2015,2016,2017,2018,2017-2018 Change,2017-2018 Change2,2018 Rank
Sutter    Av-Rutland Rd,"2,419,794","2,467,381","2,420,464","2,035,027","1,049,559","1,968,448","+918,889",+87.6%,241
Union St,"2,058,555","2,065,047","2,073,096","2,024,863","1,935,724","2,090,848","+155,124",+8.0%,226
Utica Av,"4,726,582","4,878,678","5,060,099","5,152,649","5,271,782","5,195,786","-75,996",-1.4%,81
Van Siclen Av,"1,060,055","1,048,755","304,082","1,250,237","1,078,048","854,150","-223,898",-20.8%,372
Van Siclen Av,"941,172","967,947","1,019,100","1,017,779","1,026,358","955,230","-71,128",-6.9%,363
Van Siclen Av,"913,115","943,663","966,461","983,370","910,042","818,735","-91,307",-10.0%,377
West 8 St-New    York Aquarium,"702,810","741,345","789,416","795,636","789,104","818,685","+29,581",+3.7%,378
Wilson Av,"1,243,700","1,393,045","1,407,098","1,219,239","1,471,094","1,420,065","-51,029",-3.5%,305
Winthrop St,"2,275,444","2,263,671","2,241,716","2,146,809","2,148,162","2,140,028","-8,134",-0.4%,221
York St,"2,666,502","2,760,385","2,900,416","3,286,640","3,172,717","3,256,154","+83,437",+2.6%,151
Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan
1 Av,"7,735,905","8,111,070","7,702,110","7,660,896","7,071,729","6,743,140","-328,589",-4.6%,60
103 St,"4,427,199","4,199,559","4,258,632","4,290,142","4,114,291","4,072,703","-41,588",-1.0%,115
103 St,"5,038,138","5,198,601","4,031,201","4,336,922","4,402,069","4,065,523","-336,546",-7.6%,116
103 St,"1,528,633","1,555,514","1,521,132","1,481,660","1,470,838","1,630,405","+159,567",+10.8%,277
110 St,"3,841,826","3,955,522","4,209,449","4,196,711","3,734,660","3,394,176","-340,484",-9.1%,143
116 St,"3,715,803","3,845,140","3,948,545","3,874,037","3,729,434","3,446,526","-282,908",-7.6%,142
116 St,"5,347,692","5,370,343","5,324,072","5,336,694","5,066,069","4,683,148","-382,921",-7.6%,99
116 St,"2,122,084","2,234,662","2,246,138","2,276,196","2,253,473","2,262,578","+9,105",+0.4%,205
116 St-Columbia University,"5,044,561","4,917,691","4,846,181","4,797,152","4,586,341","4,528,136","-58,205",-1.3%,103
125 St,"2,649,847","2,578,729","2,555,321","2,524,125","2,438,960","2,457,157","+18,197",+0.7%,191
125 St,"4,917,465","5,103,216","5,121,518","4,989,981","5,054,479","4,727,671","-326,808",-6.5%,98
125 St,"9,290,210","9,574,765","9,586,567","9,431,163","9,088,393","8,630,430","-457,963",-5.0%,36
125 St,"8,932,680","9,342,667","9,558,837","9,603,878","9,335,382","9,037,343","-298,039",-3.2%,34
135 St,"4,672,352","4,932,623","4,949,583","4,867,017","4,768,474","4,506,259","-262,215",-5.5%,104
135 St,"1,722,204","1,731,602","1,693,561","1,731,460","1,743,984","1,622,552","-121,432",-7.0%,278
137 St-City College,"4,825,267","4,542,044","4,646,578","4,564,432","4,440,108","4,260,166","-179,942",-4.1%,110
14 St   /8 Av,"13,903,211","14,340,856","14,763,727","14,572,075","14,153,266","14,324,670","+171,404",+1.2%,18
14 St     /6 Av,"15,844,699","16,215,866","16,121,318","16,118,952","15,187,056","15,002,214","-184,842",-1.2%,17
14 St-Union Sq,"35,309,414","35,677,468","35,320,623","34,289,822","34,557,551","33,124,407","-1,433,144",-4.1%,4
145 St,"3,274,106","3,364,151","3,338,110","3,328,994","3,208,921","3,062,446","-146,475",-4.6%,162
145 St,"1,073,259","1,114,674","1,137,484","1,086,105","1,093,045","635,413","-457,632",-41.9%,393
145 St,"7,432,177","7,778,992","7,923,696","7,949,593","7,714,122","7,434,662","-279,460",-3.6%,50
155 St,"1,281,168","1,299,098","1,306,282","1,308,981","1,212,240","1,115,948","-96,292",-7.9%,337
155 St,"822,333","852,716","842,826","881,431","887,427","1,001,262","+113,835",+12.8%,353
157 St,"3,458,058","3,481,873","3,516,545","3,542,519","3,488,053","3,514,522","+26,469",+0.8%,137
163    St-Amsterdam Av,"1,317,493","1,390,615","1,395,260","1,450,668","1,437,340","548,092","-889,248",-61.9%,405
168 St,"7,884,456","8,090,476","8,009,233","8,217,661","7,945,871","8,150,537","+204,666",+2.6%,41
175 St,"4,154,792","4,187,473","4,197,373","4,049,645","4,112,450","3,879,652","-232,798",-5.7%,125
18 St,"2,585,522","2,622,558","2,676,304","2,687,128","2,594,336","2,683,235","+88,899",+3.4%,177
181 St,"3,608,658","3,751,020","3,779,275","3,772,385","3,742,446","3,605,435","-137,011",-3.7%,132
181 St,"3,309,493","3,456,161","3,628,174","3,459,170","3,453,621","3,368,097","-85,524",-2.5%,145
190 St,"1,472,564","1,458,911","1,530,460","1,460,194","1,494,996","1,423,142","-71,854",-4.8%,304
191 St,"2,598,961","2,700,904","2,713,440","2,730,419","2,657,964","2,526,932","-131,032",-4.9%,186
2 Av,"5,999,079","5,772,265","5,847,710","5,772,537","5,372,036","5,034,358","-337,678",-6.3%,90
207 St,"1,966,949","2,049,587","2,090,297","2,148,169","2,097,830","2,020,214","-77,616",-3.7%,232
215 St,"638,224","626,312","615,177","636,441","617,727","553,050","-64,677",-10.5%,402
23 St,"4,818,903","4,883,773","4,884,678","4,703,374","4,557,216","4,853,909","+296,693",+6.5%,92
23 St,"9,200,337","9,033,835","8,627,481","8,539,378","8,265,227","9,035,498","+770,271",+9.3%,35
23 St,"7,629,811","7,923,005","7,844,508","7,543,246","7,410,618","7,420,152","+9,534",+0.1%,51
23 St,"8,446,249","8,678,810","8,942,154","8,989,195","8,636,801","5,099,809","-3,536,992",-41.0%,87
23 St,"6,905,704","7,348,879","7,965,410","8,151,328","7,651,650","8,155,834","+504,184",+6.6%,40
28 St,"4,548,738","4,666,347","4,665,377","4,544,976","4,348,170","4,444,072","+95,902",+2.2%,108
28 St,"7,076,992","7,107,083","7,214,293","7,161,164","6,836,061","3,525,030","-3,311,031",-48.4%,136
28 St,"3,520,209","3,796,977","4,083,143","4,205,109","4,065,263","4,445,982","+380,719",+9.4%,107
3 Av,"2,310,062","2,473,561","2,386,533","2,449,392","2,319,152","2,204,834","-114,318",-4.9%,214
33 St,"9,756,409","9,798,598","9,701,723","9,577,123","8,916,102","9,530,273","+614,171",+6.9%,30
34 St-Herald    Square,"38,213,448","39,285,568","39,541,865","39,000,352","39,672,507","39,111,312","-561,195",-1.4%,3
34    St-Hudson Yards,,,"692,165","2,691,851","3,098,699","3,189,867","+91,168",+2.9%,156
34 St-Penn    Station,"27,730,331","28,638,643","28,309,160","27,741,367","26,034,238","25,968,950","-65,288",-0.3%,6
34 St-Penn    Station,"25,726,374","26,493,571","26,147,434","25,183,869","24,366,500","24,857,456","+490,956",+2.0%,7
42 St-Bryant    Pk    /5 Av,"15,527,439","15,896,805","16,220,605","16,934,142","16,594,289","16,056,128","-538,161",-3.2%,15
47-50    Sts-Rockefeller Center,"17,759,382","18,236,646","18,469,446","18,086,203","17,471,620","17,289,384","-182,236",-1.0%,12
49 St,"8,155,010","8,544,694","8,029,988","8,754,627","8,626,669","8,394,862","-231,807",-2.7%,37
5 Av-53 St,"7,298,061","7,543,062","7,597,212","7,240,517","7,111,270","7,748,504","+637,234",+9.0%,47
5 Av-59 St,"5,927,685","6,155,019","6,017,047","5,929,715","5,367,130","5,136,918","-230,212",-4.3%,85
50 St,"8,074,270","8,450,496","8,266,677","8,157,242","7,751,756","8,088,925","+337,169",+4.3%,43
50 St,"6,259,935","6,867,521","6,826,275","6,778,797","6,694,422","6,441,984","-252,438",-3.8%,65
57 St,"4,520,733","4,603,639","4,720,245","4,821,309","4,557,372","2,254,820","-2,302,552",-50.5%,206
57 St-7 Av,"8,945,751","9,314,649","9,512,090","9,616,547","11,300,097","11,978,164","+678,067",+6.0%,24
59    St-Columbus Circle,"22,774,421","23,566,961","23,299,666","23,203,443","22,929,203","22,991,014","+61,811",+0.3%,8
66 St-Lincoln    Center,"7,527,781","7,772,308","7,790,234","7,606,975","7,002,620","7,196,026","+193,406",+2.8%,54
68 St-Hunter    College,"10,520,477","10,545,971","10,237,854","10,124,694","6,998,999","6,537,270","-461,729",-6.6%,61
7 Av,"4,744,808","5,092,341","5,252,615","5,162,589","5,105,535","5,299,531","+193,996",+3.8%,78
72 St,"13,456,906","13,375,012","13,341,361","13,257,766","12,749,746","12,879,887","+130,141",+1.0%,22
72 St,"2,942,517","3,015,722","2,979,236","2,921,892","2,799,974","1,382,963","-1,417,011",-50.6%,309
72 St,,,,,"8,536,209","9,068,131","+531,922",+6.2%,31
77 St,"11,167,386","11,454,604","11,014,861","10,927,200","8,276,168","7,653,602","-622,566",-7.5%,49
79 St,"5,438,078","5,601,595","5,534,255","5,371,624","5,102,655","4,990,840","-111,815",-2.2%,91
8 St-New York    University,"5,379,647","5,635,598","5,894,747","6,030,544","5,569,352","5,686,332","+116,980",+2.1%,75
81 St-Museum    of Natural History,"4,477,625","4,561,347","4,584,041","4,517,912","4,328,599","4,748,083","+419,484",+9.7%,96
86 St,"6,333,352","6,519,979","6,464,625","6,359,252","5,988,837","6,139,911","+151,074",+2.5%,69
86 St,"20,528,208","20,735,032","20,890,828","20,337,593","14,277,369","13,486,510","-790,859",-5.5%,20
86 St,"3,408,922","3,515,551","3,474,343","3,478,317","3,177,707","1,734,366","-1,443,341",-45.4%,268
86 St,,,,,"7,693,260","8,075,480","+382,220",+5.0%,44
96 St,"12,582,947","13,108,304","13,008,596","12,700,397","11,948,981","11,702,401","-246,580",-2.1%,25
96 St,"7,785,646","7,958,453","8,294,978","8,004,488","5,576,058","5,151,742","-424,316",-7.6%,83
96 St,"2,979,535","3,089,701","3,084,906","3,044,779","2,887,965","2,836,643","-51,322",-1.8%,168
96 St,,,,,"5,445,960","6,014,304","+568,344",+10.4%,71
Astor Place,"5,775,276","5,751,688","5,447,655","5,271,496","5,245,449","5,111,358","-134,091",-2.6%,86
Bowery,"970,576","1,057,000","1,184,920","1,223,959","1,327,970","1,275,541","-52,429",-3.9%,319
Bowling Green,"9,081,649","10,261,064","9,153,462","8,870,811","8,234,513","8,251,885","+17,372",+0.2%,39
Broad St,"1,436,506","1,662,905","1,834,780","2,064,292","2,056,754","1,967,616","-89,138",-4.3%,242
Broadway-Lafayette    St    /Bleecker St,"12,560,629","12,913,327","12,666,868","12,405,639","11,956,465","11,414,999","-541,466",-4.5%,26
Brooklyn    Bridge-City Hall   /Chambers St,"10,721,984","10,938,927","10,481,576","10,059,080","9,360,484","9,060,206","-300,278",-3.2%,32
Canal St,"1,787,110","1,859,071","1,830,920","1,801,063","1,756,236","1,884,371","+128,135",+7.3%,249
Canal St,"5,922,371","6,013,138","6,011,243","5,753,945","5,932,386","6,160,037","+227,651",+3.8%,68
Canal St,"15,227,139","15,104,077","15,094,135","15,274,896","16,285,516","15,995,877","-289,639",-1.8%,16
Cathedral    Pkwy-110 St,"4,557,743","4,301,285","4,280,482","4,160,302","3,947,489","4,013,259","+65,770",+1.7%,118
Cathedral    Pkwy-110 St,"2,301,545","2,351,549","2,376,166","2,354,421","2,377,135","1,168,203","-1,208,932",-50.9%,329
Central Park    North-110 St,"2,932,790","3,110,140","3,188,551","3,147,750","2,963,206","2,823,756","-139,450",-4.7%,169
Chambers St,"6,755,281","6,973,674","7,054,771","6,948,976","6,459,435","6,108,641","-350,794",-5.4%,70
Chambers St     /WTC /Park Place,"17,242,942","17,589,023","19,623,616","20,349,660","20,927,141","21,636,146","+709,005",+3.4%,9
Christopher    St-Sheridan Sq,"3,433,544","3,480,159","3,363,949","3,307,136","3,193,169","3,312,074","+118,905",+3.7%,148
City Hall,"1,560,414","1,151,646","1,828,806","1,977,733","2,258,254","1,920,070","-338,184",-15.0%,244
Delancey St    /Essex St,"7,759,914","7,909,365","8,226,975","8,458,101","8,128,719","7,922,586","-206,133",-2.5%,45
Dyckman St,"2,094,538","2,298,848","2,317,843","2,410,021","2,329,753","2,263,932","-65,821",-2.8%,204
Dyckman St,"2,112,706","2,158,170","2,244,154","2,135,271","2,165,366","2,037,425","-127,941",-5.9%,230
East Broadway,"4,208,654","4,379,909","4,576,662","4,752,739","4,458,909","4,216,327","-242,582",-5.4%,112
Franklin St,"1,703,889","1,745,841","1,731,354","1,782,203","1,700,180","1,757,424","+57,244",+3.4%,262
Fulton St,"18,721,694","20,102,397","21,671,684","25,162,937","26,838,473","27,719,115","+880,642",+3.3%,5
Grand    Central-42 St,"44,893,301","46,074,652","46,737,564","46,121,509","44,928,488","45,207,849","+279,361",+0.6%,2
Grand St,"7,994,060","8,131,543","8,010,864","7,942,505","7,653,408","7,187,070","-466,338",-6.1%,55
Harlem-148 St,"1,171,372","1,209,633","1,269,910","1,220,407","1,209,846","1,232,448","+22,602",+1.9%,325
Houston St,"4,510,538","4,562,690","4,377,409","4,375,993","4,326,280","4,488,886","+162,606",+3.8%,106
Inwood-207 St,"2,897,438","2,981,271","3,068,931","2,904,915","2,954,523","2,796,626","-157,897",-5.3%,172
Lexington Av    /59 St,"21,282,767","21,557,198","21,407,792","21,000,635","17,888,188","16,955,204","-932,984",-5.2%,14
Lexington    Av-53 St  /51 St,"20,262,110","20,513,370","20,479,923","19,929,405","18,940,774","18,585,755","-355,019",-1.9%,10
Lexington    Av-63 St,"4,462,467","4,479,963","4,718,159","5,033,950","6,389,408","6,506,078","+116,670",+1.8%,63
Marble    Hill-225 St,"1,725,406","1,846,582","1,809,998","1,777,035","1,726,646","1,686,237","-40,409",-2.3%,269
Prince St,"5,209,433","5,311,765","5,386,641","5,314,922","4,990,346","5,142,727","+152,381",+3.1%,84
Rector St,"3,398,383","3,393,420","3,042,815","2,805,381","2,861,772","2,764,454","-97,318",-3.4%,175
Rector St,"1,524,110","1,116,833","1,896,968","2,038,348","2,213,971","2,154,295","-59,676",-2.7%,218
Roosevelt    Island,"1,948,925","1,870,476","1,966,493","2,110,471","2,361,627","2,269,432","-92,195",-3.9%,202
South Ferry    /Whitehall St,"6,192,660","7,116,897","8,750,364","9,009,136","10,205,836","10,275,268","+69,432",+0.7%,29
Spring St,"4,123,703","4,169,799","3,804,403","3,792,870","3,701,740","3,654,673","-47,067",-1.3%,130
Spring St,"3,874,428","3,965,206","3,782,314","3,744,702","3,637,863","3,853,792","+215,929",+5.9%,126
Times Sq-42    St        /42 St,"63,617,614","65,948,730","66,359,208","64,531,511","64,815,739","65,060,656","+244,917",+0.4%,1
Wall St,"7,473,489","7,845,023","7,650,853","7,689,447","6,935,020","6,452,733","-482,287",-7.0%,64
Wall St,"7,231,884","7,437,325","6,708,745","6,148,384","5,704,122","5,646,207","-57,915",-1.0%,76
West 4    St-Washington Sq,"13,533,369","13,942,101","14,147,148","13,955,067","13,849,130","13,446,383","-402,747",-2.9%,21
WTC Cortland,0,0,0,0,,"1,245,455","+1,245,455",+100.0%,324
Queens,Queens,Queens,Queens,Queens,Queens,Queens,Queens,Queens,Queens
103 St-Corona Plaza,"6,314,870","6,464,627","6,527,196","6,504,644","6,498,237","6,319,564","-178,673",-2.7%,66
104 St,"516,000","388,144","538,400","626,547","560,309","548,871","-11,438",-2.0%,404
104 St,"779,537","827,890","841,545","850,903","502,541","456,765","-45,776",-9.1%,409
111 St,"3,607,926","3,659,225","3,699,843","3,753,756","3,721,445","3,608,389","-113,056",-3.0%,131
111 St,"795,820","802,831","767,647","561,857","748,813","762,641","+13,828",+1.8%,383
111 St,"780,300","802,275","812,055","805,255","948,885","801,639","-147,246",-15.5%,379
121 St,"688,985","766,469","788,674","794,687","337,075","391,696","+54,621",+16.2%,412
169 St,"2,834,112","2,854,274","2,858,542","2,787,763","2,629,975","2,497,336","-132,639",-5.0%,188
21 St,"422,616","427,353","533,529","580,065","598,061","550,464","-47,597",-8.0%,403
21    St-Queensbridge,"2,631,860","2,683,624","2,884,831","3,009,540","3,157,675","3,340,366","+182,691",+5.8%,146
30 Av,"4,776,709","4,808,350","4,745,260","4,694,548","3,437,709","2,373,721","-1,063,988",-31.0%,197
33 St-Rawson    St,"3,899,003","3,892,589","3,712,153","3,636,632","3,402,610","3,031,465","-371,145",-10.9%,164
36 Av,"2,462,645","2,439,630","2,394,564","2,343,925","1,677,211","1,446,827","-230,384",-13.7%,302
36 St,"1,278,109","1,307,054","1,339,754","1,355,271","1,362,430","1,513,330","+150,900",+11.1%,289
39 Av- Dutch Kills,"1,012,381","1,104,375","1,072,026","1,016,809","979,103","665,750","-313,353",-32.0%,390
40 St-Lowery    St,"3,483,507","3,496,675","3,421,569","3,399,567","3,261,769","3,048,104","-213,665",-6.6%,163
46 St,"3,014,082","3,021,219","2,956,981","2,904,517","2,781,811","2,711,011","-70,800",-2.5%,176
46 St-Bliss    St,"4,734,334","4,695,672","4,593,351","4,541,003","4,303,987","4,058,815","-245,172",-5.7%,117
52 St,"2,182,725","2,214,115","2,177,884","2,131,770","2,027,659","1,883,246","-144,413",-7.1%,250
63 Dr-Rego    Park,"5,129,203","5,272,014","5,244,226","5,219,811","4,991,559","4,769,745","-221,814",-4.4%,95
65 St,"1,124,823","1,159,576","1,192,281","1,183,534","1,120,703","1,129,031","+8,328",+0.7%,336
67 Av,"2,818,350","2,851,905","2,853,794","2,807,769","2,695,321","2,592,645","-102,676",-3.8%,181
69 St,"1,671,584","1,685,222","1,629,526","1,643,806","1,602,770","1,510,410","-92,360",-5.8%,290
74-Bway    /Jackson Hts-Roosevelt Av,"16,864,938","17,087,795","17,224,537","17,301,839","17,095,073","16,994,358","-100,715",-0.6%,13
75 Av,"1,155,836","1,131,705","1,136,305","1,102,600","994,127","1,019,978","+25,851",+2.6%,349
75 St-Elderts    Ln,"1,138,544","1,172,162","1,196,186","1,187,714","1,069,608","992,267","-77,341",-7.2%,356
80 St,"1,310,413","1,507,116","1,465,264","1,098,234","1,346,296","1,332,047","-14,249",-1.1%,315
82 St-Jackson    Hts,"5,139,172","5,172,595","5,128,506","5,089,971","5,018,542","4,741,470","-277,072",-5.5%,97
85 St-Forest    Pkwy,"1,157,863","1,212,661","1,239,793","1,237,770","1,156,600","1,063,133","-93,467",-8.1%,342
88 St,"808,822","613,296","1,011,163","952,251","880,776","855,851","-24,925",-2.8%,371
90    St-Elmhurst Av,"5,513,135","5,480,059","5,489,630","5,471,961","5,460,868","5,245,160","-215,708",-4.0%,80
Aqueduct    Racetrack,"213,601","630,644","672,734","676,971","641,464","732,091","+90,627",+14.1%,385
Aqueduct-North    Conduit Av,"698,115","357,399","365,488","342,494","309,029","276,067","-32,962",-10.7%,417
Astoria Blvd,"3,962,838","3,914,637","3,926,062","3,894,399","3,988,480","4,226,298","+237,818",+6.0%,111
Astoria-Ditmars    Blvd,"5,405,084","5,416,919","5,407,027","5,429,314","5,031,462","4,543,854","-487,608",-9.7%,102
Beach 105 St,"48,916","82,980","99,254","95,469","97,654","92,852","-4,802",-4.9%,423
Beach 25 St,"267,585","519,843","570,312","601,116","582,975","543,839","-39,136",-6.7%,406
Beach 36 St,"143,400","272,799","296,860","305,816","298,395","275,165","-23,230",-7.8%,418
Beach 44 St,"91,331","181,758","197,543","212,440","214,473","216,609","+2,136",+1.0%,420
Beach 60 St,"406,698","772,376","801,015","794,595","726,189","630,038","-96,151",-13.2%,394
Beach 67    St-Arverne By The Sea,"357,807","701,784","799,134","811,248","792,444","669,421","-123,023",-15.5%,388
Beach 90 St,"194,416","306,284","333,006","335,515","411,887","382,766","-29,121",-7.1%,413
Beach 98 St,"100,594","200,197","214,040","203,795","180,588","154,620","-25,968",-14.4%,422
Briarwood-Van    Wyck Blvd,"1,427,813","1,427,017","1,479,278","1,515,926","1,489,396","1,462,744","-26,652",-1.8%,301
Broad Channel,"36,849","74,386","91,766","91,208","87,774","82,248","-5,526",-6.3%,424
Broadway,"4,325,297","4,407,347","4,300,632","4,189,306","4,060,805","2,436,810","-1,623,995",-40.0%,194
Court Sq,"6,072,768","6,664,442","6,730,837","6,809,217","7,003,218","7,218,939","+215,721",+3.1%,53
Elmhurst Av,"4,343,633","4,362,316","4,350,714","4,268,747","4,039,686","3,898,046","-141,640",-3.5%,123
Far    Rockaway-Mott Av,"806,025","1,486,147","1,576,988","1,572,694","1,472,005","1,376,087","-95,918",-6.5%,310
Flushing-Main    St,"19,102,434","19,085,948","19,082,391","19,257,879","18,746,832","17,799,862","-946,970",-5.1%,11
Forest Av,"1,179,301","1,235,376","1,317,289","1,316,296","796,742","927,801","+131,059",+16.4%,367
Forest    Hills-71 Av,"8,573,480","8,585,239","8,654,547","8,581,096","8,748,221","8,115,385","-632,836",-7.2%,42
Fresh Pond Rd,"1,534,754","1,676,862","1,806,429","1,831,889","1,198,376","1,400,512","+202,136",+16.9%,308
Grand    Av-Newtown,"5,832,568","5,861,823","5,995,764","6,057,028","5,792,378","5,713,827","-78,551",-1.4%,74
Howard    Beach-JFK Airport,"1,626,984","963,503","1,041,816","1,012,067","1,123,405","1,154,695","+31,290",+2.8%,331
Hunters Point    Av,"1,710,103","1,791,109","1,848,769","1,994,002","1,999,970","1,932,478","-67,492",-3.4%,243
Jamaica    Center-Parsons-Archer,"12,507,906","12,784,635","12,622,977","12,470,914","11,604,228","10,681,269","-922,959",-8.0%,27
Jamaica-179    St,"6,868,439","6,818,494","6,898,938","6,783,119","6,463,698","6,270,766","-192,932",-3.0%,67
Jamaica-Van    Wyck,"1,565,998","1,587,413","1,545,016","1,536,716","1,555,962","1,502,672","-53,290",-3.4%,294
Junction Blvd,"6,816,700","6,946,966","7,064,435","7,249,912","7,084,849","6,896,657","-188,192",-2.7%,56
Kew    Gardens-Union Turnpike,"8,609,185","8,363,109","8,354,731","8,109,611","7,811,007","7,680,149","-130,858",-1.7%,48
Mets-Willets    Point,"1,902,121","1,875,472","2,120,859","2,004,343","1,873,789","1,756,825","-116,964",-6.2%,263
Middle    Village-Metropolitan Av,"1,200,171","1,300,110","1,361,246","1,365,048","875,782","954,875","+79,093",+9.0%,364
Northern Blvd,"2,239,136","2,290,836","2,282,296","2,264,100","2,140,551","2,097,374","-43,177",-2.0%,224
Ozone    Park-Lefferts Blvd,"2,262,961","2,263,109","2,224,331","2,351,557","2,306,419","2,296,755","-9,664",-0.4%,201
Parsons Blvd,"2,035,948","2,052,252","2,094,007","2,063,042","1,998,650","2,003,517","+4,867",+0.2%,233
Queens Plaza,"2,855,006","3,005,223","3,101,888","3,124,028","3,374,948","3,886,574","+511,626",+15.2%,124
Queensboro    Plaza,"3,569,290","3,785,260","3,773,168","4,105,500","4,566,287","5,079,051","+512,764",+11.2%,88
Rockaway Blvd,"2,637,100","2,575,171","1,729,268","2,382,252","2,371,645","2,336,304","-35,341",-1.5%,198
Rockaway    Park-Beach 116 St,"135,956","231,407","255,542","250,220","235,691","240,483","+4,792",+2.0%,419
Seneca Av,"711,011","755,026","842,069","854,251","454,373","565,714","+111,341",+24.5%,400
Steinway St,"4,798,179","4,807,448","4,779,346","4,703,321","4,733,777","5,075,623","+341,846",+7.2%,89
Sutphin Blvd,"1,550,363","1,468,419","1,506,607","1,414,334","1,338,831","1,303,795","-35,036",-2.6%,317
Sutphin    Blvd-Archer Av-JFK Airport,"7,303,038","7,633,725","7,767,728","7,904,869","7,457,153","7,282,128","-175,025",-2.3%,52
Vernon    Blvd-Jackson Av,"3,726,974","4,169,876","4,462,652","4,877,185","4,821,191","4,493,326","-327,865",-6.8%,105
Woodhaven    Blvd,"1,398,536","1,505,920","1,551,590","1,513,298","1,512,676","1,370,889","-141,787",-9.4%,311
Woodhaven    Blvd,"7,157,254","7,125,205","7,120,037","7,144,921","6,871,409","6,509,386","-362,023",-5.3%,62
Woodside-61    St,"5,330,760","5,356,621","5,432,682","5,511,564","5,457,171","5,282,486","-174,685",-3.2%,79
Brooklyn,"372,392,182","382,724,843","387,548,598","384,540,220","379,372,550","370,231,302","-9,141,248",-2.4%,
Bronx,"149,111,695","152,510,555","152,317,861","153,079,012","149,220,838","139,238,932","-9,981,906",-6.7%,
Manhattan,"940,342,922","965,303,064","970,332,468","966,394,667","955,572,737","936,516,980","-19,055,757",-2.0%,
Queens,"245,692,630","250,683,329","252,328,123","252,780,951","243,113,483","234,085,767","-9,027,716",-3.7%,
Systemwide    Adjustment,"16,285","65,830","38,369","19,950","86,999","-12,579","-99,578",,
System Total,"1,707,555,714","1,751,287,621","1,762,565,419","1,756,814,800","1,727,366,607","1,680,060,402","-47,306,205",-2.7%,
